poi_type,name,latitude,longitude
clinic,Поликлиника №17,55.6165055,37.7350467
mall,Белград,55.6046219,37.7123014
kindergarten,,55.6839716,37.5734071
clinic,Поликлиника №46 филиал №3,55.73788,37.6567449
clinic,Детская поликлиника,55.7340888,37.8610295
clinic,Главный военный клинический госпиталь им. Н.Н. Бурденко,55.7700958,37.6991584
clinic,Диагностический клинический центр №1,55.6483475,37.5183455
clinic,Детская городская поликлиника №48 Филиал №3,55.7141789,37.7383829
clinic,Мать и дитя,55.6694,37.5812322
clinic,Родильный дом №4,55.6621165,37.525864
clinic,Прима Медика,55.6617086,37.5266916
mall,Изумрудный город,55.4724014,37.3038313
clinic,,55.6408932,37.4770939
clinic,Кожно-венерологический клинический диспансер № 29,55.6848808,37.5832952
clinic,Федеральный научно-клинический центр,55.6165849,37.7640299
school,ЦО 1432,55.6426021,37.3414064
clinic,Родильный дом №25,55.7017218,37.563179
mall,Феникс,55.7006142,37.8548311
clinic,Родильный дом №3,55.7170524,37.4769631
clinic,Женская консультация №2,55.88951,37.6230427
clinic,Поликлиника №6,55.8588248,37.656123
clinic,Детская поликлиника №126 (филиал),55.8537563,37.6572717
clinic,Городская поликлиника №6 филиал №2,55.801414,37.582493
clinic,Детская поликлиника 111,55.6107361,37.539516
school,Школа № 1355,55.5404804,37.5778667
clinic,Новый Взгляд,55.7658968,37.4128294
clinic,Поликлиника МСЧ №33,55.828305,37.6689616
kindergarten,"Школа №439 ""Интеллект"" (дошкольное отделение №3)",55.735387,37.7470929
clinic,Поликлиника Центросоюза,55.7872356,37.6321942
clinic,Женская консультация,55.6513386,37.3986095
clinic,Поликлиника №210,55.6374489,37.6955841
clinic,Поликлиника Военно-морского Флота №10,55.8341959,37.4533405
school,Классический пансион МГУ им. М.В. Ломоносова,55.7161568,37.4355618
clinic,Поликлиника №219,55.8352555,37.4188353
clinic,Филиал №2 ГБУЗ Психиатрической Больницы №13 ДЗМ,55.7638585,37.7178638
clinic,Поликлиника,55.5051754,37.562819
clinic,Детская поликлиника,55.5066102,37.5667313
clinic,Детская поликлиника №124,55.6433739,37.4050502
clinic,Поликлиника №194,55.6518142,37.4000512
clinic,Городская поликлиника №107 (филиал №3),55.8819741,37.6403712
mall,Совёнок-2,55.7957485,37.5936274
mall,Совёнок-1,55.7967721,37.5939098
kindergarten,Детский сад №1071,55.7931586,37.5080654
clinic,Медицинский центр Надежда,55.817023,37.8291005
school,Центр творчества и рукоделия Фея,55.6433361,37.4106566
clinic,Больница,55.59468,37.3648329
clinic,Детская поликлиника №118,55.5716493,37.5655095
clinic,Поликлиника,55.4315799,36.8713828
clinic,Поликлиника,55.6195498,37.4725952
clinic,Будь здоров,55.7264249,37.5791868
clinic,Челюстно-лицевой госпиталь для ветеранов войн,55.7142201,37.6148358
school,"Центр детского творчества ""Солнцево""",55.64866,37.393593
school,школа №1007,55.6488818,37.3987263
clinic,,55.4488114,37.5101034
