source_group,price,area_total,kitchen_area,price_per_m2,rooms,floor,floors_total,address,metro,metro_walk_min,walls,walls_clean,link,address_raw,metro_raw
4k,39990000,114.0,15.0,350789.4736842105,4.0,10.0,19.0,,Немчиновка,32.0,Монолитный железобетонный каркас,монолит,https://msk.etagi.com/realty/12205369/,Посмотреть 5 фото,Немчиновка
4k,32000000,97.4,10.8,328542.0944558521,4.0,,,"ул. Высоковольтный проезд, 1, Москва",Верхние Лихоборы,21.0,,,https://msk.etagi.com/realty/12219043/,"4к, 97.4м², 10 этаж, ул. Высоковольтный проезд, 1, Москва, квартира",На карте Верхние Лихоборы Бибирево
4k,20500000,75.7,15.0,270805.81241743726,4.0,1.0,12.0,"ул. Перерва, 10, Москва",,,Панельные,панель,https://msk.etagi.com/realty/12219804/,"4к, 75.7м², 1/12 этаж, ул. Перерва, 10, Москва, квартира",
4k,114000000,125.9,15.0,905480.5401111994,4.0,25.0,32.0,"ул. Летниковская, 11к1, Москва",Павелецкая,12.0,Монолитные,монолит,https://msk.etagi.com/realty/12227773/,"4к, 125.9м², 25/32 этаж, ул. Летниковская, 11к1, Москва, квартира",На карте Павелецкая
4k,30000000,100.0,13.5,300000.0,4.0,2.0,14.0,"ул. Лермонтовский проспект, 6, Москва",Косино,3.0,Панельные,панель,https://msk.etagi.com/realty/12233361/,"4к, 100м², 2/14 этаж, ул. Лермонтовский проспект, 6, Москва, квартира",На карте Косино
4k,125000000,106.2,13.0,1177024.482109228,4.0,2.0,6.0,"ул. Тверская, 6с3, Москва",Театральная Чеховская,8.0,Монолитные,монолит,https://msk.etagi.com/realty/12240095/,"4к, 106.2м², 2/6 этаж, ул. Тверская, 6с3, Москва, квартира",На карте Театральная Чеховская
4k,25800000,74.3,20.0,347240.91520861373,4.0,13.0,25.0,"ул. Муравская, 42к3, Москва",Пятницкое шоссе,18.0,Монолитные,монолит,https://msk.etagi.com/realty/12011085/,"4к, 74.3м², 13/25 этаж, ул. Муравская, 42к3, Москва, квартира",Пятницкое шоссе
4k,75000000,107.0,15.0,700934.5794392524,4.0,4.0,4.0,"ул. Трубная, 22/1, Москва",,,Кирпичные,кирпич,https://msk.etagi.com/realty/12034332/,"4к, 107м², 4/4 этаж, ул. Трубная, 22/1, Москва, квартира",
4k,60000000,190.7,16.0,314630.30938647094,5.0,11.0,23.0,"ул. Ломоносовский проспект, 7к5, Москва",Университет,18.0,Кирпичные,кирпич,https://msk.etagi.com/realty/12037493/,"5к, 190.7м², 11/23 этаж, ул. Ломоносовский проспект, 7к5, Москва, квартира",Университет
4k,130000000,114.5,70.0,1135371.1790393014,4.0,2.0,6.0,"ул. переулок Сивцев Вражек, 12, Москва",Кропоткинская,8.0,Кирпич красный,кирпич,https://msk.etagi.com/realty/12041712/,"4к, 114.5м², 2/6 этаж, ул. переулок Сивцев Вражек, 12, Москва, квартира",Кропоткинская
4k,30600000,90.5,11.0,338121.546961326,4.0,4.0,17.0,"ул. Ленинградское шоссе, 108к1, Москва",Беломорская,11.0,Панельные,панель,https://msk.etagi.com/realty/12060353/,"4к, 90.5м², 4/17 этаж, ул. Ленинградское шоссе, 108к1, Москва, квартира",Беломорская
