source_group,price,area_total,rooms,floor,floors_total,address,latitude,longitude,metro,metro_walk_min,kitchen_area,renovation,walls,build_year,ceiling_height,floor_position,elevator,house_number,yard,parking,playground,link,address_source,metro_distance_km,metro_source,distance_to_center_km,distance_to_mkad_km,distance_to_school_km,distance_to_kindergarten_km,distance_to_clinic_km,distance_to_mall_km,price_per_m2,floor_ratio,house_age,has_metro_near,geo_generation_cluster
all,15450000.0,35.7,1.0,5.0,25.0,"москва, ул. люблинская",55.658007,37.726277,Перерва,8.0,17.0,евроремонт,панельные,2002.0,2.62,не угловая,unknown,13.3,двор,парковка во дворе,нет,https://msk.etagi.com/realty/11754972/,raw,0.7,geo_recomputed,12.56,5.66,0.22,0.42,0.91,0.18,432773.1092436974,0.2,24.0,1,17
all,10490000.0,24.0,0.0,11.0,32.0,"москва, ул. кавказский бульвар, 51 (14 км до центра)",55.627829,37.644073,Кантемировская,14.0,7.0,без отделки,монолитно-кирпичный,2002.0,2.68,не угловая,unknown,51,парковка,"наземный паркинг, подземный паркинг",нет,https://msk.etagi.com/realty/12122401/,raw,1.2,geo_recomputed,13.94,6.03,0.58,0.4,0.39,0.18,437083.3333333333,0.34375,24.0,1,13
all,12600000.0,34.5,1.0,8.0,9.0,"москва, ул. 800-летия москвы, 11к8",55.883318,37.562371,Бескудниково,4.0,7.0,чистовая отделка,панельные,1973.0,2.64,не угловая,пассажирский,11к8,двор,"наземный паркинг, гостевой паркинг",есть,https://msk.etagi.com/realty/12239253/,raw,0.34,geo_recomputed,14.95,2.89,0.17,0.14,0.67,0.07,365217.39130434784,0.8888888888888888,53.0,1,21
all,17500000.0,41.9,2.0,5.0,5.0,"москва, ул. константинова, 32к1",55.81958,37.659605,ВДНХ,14.0,5.6,косметический ремонт,кирпичные,1962.0,2.64,не угловая,unknown,32к1,двор,unknown,нет,https://msk.etagi.com/realty/12403904/,raw,1.18,geo_recomputed,7.98,7.95,0.1,0.32,0.52,0.22,417661.0978520287,1.0,64.0,1,1
all,10700000.0,35.3,1.0,4.0,14.0,"пятёрочка, улица усадебный парк, жилой комплекс ""середневский лес"", филимонковский район, москва, центральный федеральный округ, 108821, россия",55.570594,37.283139,Аэропорт Внуково,48.0,10.0,косметический ремонт,монолитно-кирпичный,2002.0,2.68,не угловая,unknown,7,двор,наземный паркинг,нет,https://msk.etagi.com/realty/12445843/,geo,4.02,geo_recomputed,29.03,13.46,0.38,0.16,3.46,3.02,303116.1473087819,0.2857142857142857,24.0,0,19
all,19500000.0,41.5,2.0,3.0,5.0,"москва, ул. путевой проезд, 40к2",55.878738,37.572935,Бескудниково,7.0,6.0,косметический ремонт,крупноблочные,2002.0,2.68,не угловая,unknown,40к2,детская площадка,unknown,нет,https://msk.etagi.com/realty/12446537/,raw,0.55,geo_recomputed,14.32,3.51,0.45,0.12,0.48,0.13,469879.5180722892,0.6,24.0,1,21
all,18000000.0,30.0,1.0,2.0,14.0,"москва, ул. 4-й верхний михайловский проезд, 1 (5 км до центра)",55.707852,37.606559,Тульская,12.0,4.0,unknown,монолитно-кирпичный,2022.0,3.0,не угловая,"пассажирский, пассажирский и грузовой",1,двор,подземный паркинг,нет,https://msk.etagi.com/realty/12473864/,raw,1.02,geo_recomputed,4.96,11.93,0.47,0.25,0.27,0.13,600000.0,0.1428571428571428,4.0,1,20
all,30500000.0,72.0,3.0,1.0,17.0,"москва, ул. раменки, 11к1 (16 км до центра)",55.691785,37.498249,Раменки,8.0,9.0,евроремонт,панельные,1985.0,2.64,не угловая,"пассажирский, грузовой",11к1,двор,наземный паркинг,есть,https://msk.etagi.com/realty/12474817/,raw,0.64,geo_recomputed,9.96,5.09,0.18,0.07,0.26,0.18,423611.1111111111,0.0588235294117647,41.0,1,0
all,19500000.0,63.6,3.0,11.0,24.0,"москва, ул. новоостаповская, 20 (6 км до центра)",55.723759,37.686025,Волгоградский проспект,2.0,3.5,черновая отделка,монолитные,2002.0,2.68,не угловая,грузовой,20,двор,подземный паркинг,нет,https://msk.etagi.com/realty/12540256/,raw,0.21,geo_recomputed,5.43,9.46,0.78,0.53,0.7,0.15,306603.77358490566,0.4583333333333333,24.0,1,18
all,27985000.0,45.0,1.0,19.0,29.0,"москва, ул. волгоградский проспект, 32/5к4 (5 км до центра)",55.720023,37.688782,Угрешская,7.0,22.0,unknown,монолитные,2023.0,3.0,не угловая,"пассажирский, грузовой",32/5к4,двор,"подземный паркинг, гостевой паркинг",нет,https://msk.etagi.com/realty/12600564/,raw,0.59,geo_recomputed,5.81,9.19,1.07,0.09,0.41,0.37,621888.8888888889,0.6551724137931034,3.0,1,18
all,60900000.0,120.0,4.0,3.0,18.0,"москва, ул. паршина, 10",55.790357,37.458076,Щукинская,26.0,37.1,черновая отделка,монолитные,2020.0,3.0,угловая,"пассажирский и грузовой, пассажирский",10,двор,"подземный паркинг, наземный паркинг",нет,https://msk.etagi.com/realty/12613901/,raw,2.14,geo_recomputed,10.73,4.75,0.32,0.41,0.51,0.76,507500.0,0.1666666666666666,6.0,0,16
all,14600000.0,46.0,2.0,2.0,14.0,"москва, ул. сумская, 8к3",55.624911,37.600855,Южная,7.0,6.5,косметический ремонт,сборно-монолитный железобетонный каркас,2002.0,2.68,не угловая,"пассажирский, грузовой",8к3,двор,unknown,нет,https://msk.etagi.com/realty/12625585/,raw,0.58,geo_recomputed,14.18,5.17,0.48,0.09,0.54,0.2,317391.3043478261,0.1428571428571428,24.0,1,13
all,12700000.0,38.5,1.0,8.0,14.0,"москва, ул. руднёвка, 25 (29 км до центра)",55.717574,37.888621,Улица Дмитриевского,13.0,7.3,косметический ремонт,панельные,2005.0,2.7,не угловая,"пассажирский, грузовой",25,двор,наземный паркинг,есть,https://msk.etagi.com/realty/12625744/,raw,1.09,geo_recomputed,17.52,3.11,0.29,0.07,0.47,0.12,329870.12987012987,0.5714285714285714,21.0,1,4
all,145000000.0,160.6,5.0,12.0,16.0,"москва, ул. мичуринский проспект, 5",55.702906,37.511508,Ломоносовский проспект,9.0,16.0,unknown,панельные,1979.0,2.64,не угловая,"пассажирский, грузовой",5,двор,"наземный паркинг, гостевой паркинг, подземный паркинг",есть,https://msk.etagi.com/realty/12627020/,raw,0.75,geo_recomputed,8.52,6.3,0.08,0.1,0.15,0.43,902864.2590286428,0.75,47.0,1,0
all,26500000.0,60.0,2.0,11.0,22.0,"москва, ул. кировоградская, 2 (11 км до центра)",55.632814,37.612506,Чертановская,11.0,10.5,unknown,панельные,1991.0,2.65,не угловая,"пассажирский, грузовой",2,двор,наземный паркинг,есть,https://msk.etagi.com/realty/12627062/,raw,0.95,geo_recomputed,13.28,6.27,0.23,0.4,0.72,0.21,441666.6666666667,0.5,35.0,1,13
all,10350000.0,28.3,1.0,1.0,8.0,"москва, ул. 3-я парковая, 35 (11 км до центра)",55.796643,37.781659,Измайловская,12.0,6.0,требует ремонта / частичный ремонт,блочные,2002.0,2.6,не угловая,пассажирский,35,двор,"наземный паркинг, гостевой паркинг",нет,https://msk.etagi.com/realty/12627448/,raw,1.0,geo_recomputed,11.5,3.68,0.26,0.14,0.27,0.23,365724.38162544166,0.125,24.0,1,11
all,16250000.0,34.9,1.0,11.0,12.0,"москва, ул. тимирязевская, 7",55.80866,37.569773,Дмитровская,9.0,8.0,косметический ремонт,кирпичные,1969.0,2.64,не угловая,unknown,7,двор,"наземный паркинг, гостевой паркинг",нет,https://msk.etagi.com/realty/12627462/,raw,0.75,geo_recomputed,6.9,10.25,0.49,0.23,0.02,0.24,465616.04584527225,0.9166666666666666,57.0,1,23
all,15700000.0,46.0,2.0,2.0,12.0,"москва, ул. ясеневая, 35 (18 км до центра)",55.606527,37.740165,Зябликово,8.0,7.0,косметический ремонт,панельные,1977.0,2.64,не угловая,"пассажирский, грузовой",35,двор,наземный паркинг,есть,https://msk.etagi.com/realty/12627935/,raw,0.68,geo_recomputed,17.98,0.9,0.08,0.14,0.47,0.11,341304.347826087,0.1666666666666666,49.0,1,17
all,13450000.0,37.6,2.0,2.0,9.0,"москва, ул. измайловский проспект, 115а (20 км до центра)",55.789254,37.812758,Первомайская,12.0,6.0,требует ремонта / частичный ремонт,блочные,1972.0,2.5,угловая,"пассажирский, грузовой",115а,двор,наземный паркинг,есть,https://msk.etagi.com/realty/12628204/,raw,1.01,geo_recomputed,13.0,1.78,0.05,0.41,0.29,0.44,357712.76595744677,0.2222222222222222,54.0,1,11
all,24990000.0,38.6,2.0,4.0,26.0,"москва, ул. кронштадтский бульвар, 9к1",55.841625,37.489706,Водный стадион,4.0,18.0,unknown,монолитно-каркасные,2002.0,2.8,не угловая,"пассажирский, грузовой",9к1,двор,unknown,нет,https://msk.etagi.com/realty/12629617/,raw,0.32,geo_recomputed,12.68,4.84,0.47,0.29,0.36,0.16,647409.3264248704,0.1538461538461538,24.0,1,21
all,17100000.0,35.0,1.0,2.0,12.0,"москва, ул. знаменская, 38к2 (8 км до центра)",55.801981,37.722496,Преображенская площадь,10.0,9.0,unknown,блочные,1972.0,2.48,не угловая,"пассажирский, грузовой",38к2,двор,unknown,нет,https://msk.etagi.com/realty/12630961/,raw,0.84,geo_recomputed,8.68,6.74,0.09,0.2,0.09,0.26,488571.4285714286,0.1666666666666666,54.0,1,7
all,26200000.0,52.0,2.0,7.0,22.0,"москва, ул. малая филёвская, 22 (19 км до центра)",55.736615,37.466009,Пионерская,1.0,9.0,евроремонт,монолитные,2018.0,2.64,не угловая,"пассажирский, грузовой, пассажирский и грузовой",22,двор,наземный паркинг,есть,https://msk.etagi.com/realty/12619982/,raw,0.08,geo_recomputed,9.52,5.53,0.23,0.13,0.35,0.09,503846.1538461539,0.3181818181818182,8.0,1,0
all,15200000.0,33.0,1.0,8.0,9.0,"москва, ул. академика комарова, 20а",55.830832,37.586571,Фонвизинская,11.0,5.0,unknown,панели железобетонные,2002.0,2.5,не угловая,unknown,20а,детская площадка,unknown,нет,https://msk.etagi.com/realty/12619998/,raw,0.9,geo_recomputed,8.93,8.09,0.31,0.23,0.39,0.32,460606.0606060606,0.8888888888888888,24.0,1,6
all,12400000.0,22.0,0.0,18.0,20.0,"москва, ул. производственная, 19ак2 (20 км до центра)",55.644318,37.380687,Новопеределкино,7.0,5.0,черновая отделка,блочные+кирпич,2002.0,2.68,не угловая,грузовой,19ак2,детская площадка,unknown,нет,https://msk.etagi.com/realty/12620167/,raw,0.57,geo_recomputed,18.99,3.81,0.48,0.35,0.76,0.82,563636.3636363636,0.9,24.0,1,3
all,11350000.0,18.76,0.0,10.0,23.0,"1-й нагатинский проезд, район нагатино-садовники, москва, центральный федеральный округ, 115230, россия",55.674743,37.628254,Нагатинская,11.0,2.6,чистовая отделка,монолитно-кирпичный,2002.0,2.7,не угловая,"грузовой, пассажирский, пассажирский и грузовой",2,детская площадка,unknown,есть,https://msk.etagi.com/realty/12620318/,geo,0.94,geo_recomputed,8.65,10.95,0.3,0.29,0.43,0.07,605010.6609808102,0.4347826086956521,24.0,1,5
all,10000000.0,28.1,1.0,3.0,24.0,"москва, ул. очаковское шоссе, 7 (12 км до центра)",55.692896,37.460816,Аминьевская,6.0,10.0,чистовая отделка,панельные,2002.0,2.68,не угловая,unknown,7,двор,"подземный паркинг, наземный паркинг",нет,https://msk.etagi.com/realty/12620373/,raw,0.52,geo_recomputed,11.72,2.94,0.37,0.15,0.42,0.3,355871.88612099644,0.125,24.0,1,0
all,17950000.0,27.0,1.0,5.0,15.0,"москва, ул. проспект маршала жукова, 39ак1 (9 км до центра)",55.775307,37.471237,Народное Ополчение,10.0,10.0,unknown,сборно-монолитный железобетонный каркас,2002.0,2.64,не угловая,"пассажирский, грузовой",39ак1,двор,"наземный паркинг, гостевой паркинг",есть,https://msk.etagi.com/realty/12620459/,raw,0.87,geo_recomputed,9.39,6.18,0.42,0.25,0.15,0.09,664814.8148148148,0.3333333333333333,24.0,1,16
all,66000000.0,91.4,3.0,12.0,24.0,"москва, ул. профсоюзная, 68к2 (11 км до центра)",55.664091,37.546264,Воронцовская,9.0,21.7,unknown,монолитные,2002.0,2.68,не угловая,unknown,68к2,детская площадка,unknown,нет,https://msk.etagi.com/realty/12620473/,raw,0.73,geo_recomputed,10.72,6.08,0.66,0.54,0.08,0.21,722100.6564551422,0.5,24.0,1,15
all,13900000.0,30.1,1.0,1.0,8.0,"москва, ул. звёздный бульвар, 42к1",55.813273,37.622729,Алексеевская,14.0,7.0,евроремонт,блочные,1961.0,2.64,не угловая,грузовой,42к1,двор,наземный паркинг,нет,https://msk.etagi.com/realty/12620582/,raw,1.17,geo_recomputed,6.81,9.42,0.42,0.33,0.34,0.06,461794.0199335548,0.125,65.0,1,6
all,15000000.0,37.5,1.0,5.0,17.0,"москва, ул. главмосстроя, 9 (97 км до центра)",55.655706,37.40601,Говорово,10.0,7.4,чистовая отделка,кирпично-панельные,2002.0,2.6,не угловая,unknown,9,детская площадка,unknown,нет,https://msk.etagi.com/realty/12620874/,raw,0.79,geo_recomputed,16.96,1.8,0.13,0.11,0.13,0.35,400000.0,0.2941176470588235,24.0,1,3
all,27200000.0,66.1,2.0,4.0,24.0,"москва, ул. перовское шоссе, д. 21",55.736939,37.74816,Андроновка,11.0,29.9,черновая отделка,монолитно-кирпичный,2002.0,2.98,не угловая,unknown,1,детская площадка,unknown,нет,https://msk.etagi.com/realty/12613381/,raw,0.94,geo_recomputed,8.47,5.82,0.26,0.19,0.25,0.4,411497.7307110439,0.1666666666666666,24.0,1,18
all,18950000.0,52.8,3.0,17.0,25.0,"москва, ул. новоостаповская, 2 (5 км до центра)",55.717264,37.666531,Дубровка,7.0,10.0,косметический ремонт,монолитные,2002.0,2.68,не угловая,грузовой,2,двор,подземный паркинг,нет,https://msk.etagi.com/realty/12613740/,raw,0.62,geo_recomputed,5.03,10.48,0.19,0.39,0.28,0.24,358901.5151515152,0.68,24.0,1,20
all,25000000.0,72.2,3.0,2.0,17.0,"москва, ул. борисовские пруды, 21к2",55.636936,37.723403,Борисово,16.0,10.0,евроремонт,панели железобетонные,2002.0,2.68,не угловая,unknown,21к2,детская площадка,unknown,нет,https://msk.etagi.com/realty/12614582/,raw,1.34,geo_recomputed,14.49,4.1,0.13,0.09,1.11,0.54,346260.38781163434,0.1176470588235294,24.0,0,17
all,36000000.0,54.0,2.0,10.0,27.0,"москва, ул. зорге, 9к2 (7 км до центра)",55.782309,37.508598,Хорошево,7.0,9.0,косметический ремонт,монолитно-кирпичный,2022.0,3.0,не угловая,грузовой,9к2,двор,"наземный паркинг, гостевой паркинг, подземный паркинг",есть,https://msk.etagi.com/realty/12614623/,raw,0.57,geo_recomputed,7.48,8.04,0.28,0.29,0.47,0.48,666666.6666666666,0.3703703703703703,4.0,1,16
all,12890000.0,50.1,3.0,8.0,12.0,"москва, ул. харьковский проезд, 11к2 (19 км до центра)",55.588806,37.639464,Красный строитель,18.0,6.0,косметический ремонт,блочные+кирпич,2002.0,2.64,не угловая,unknown,11к2,двор,наземный паркинг,нет,https://msk.etagi.com/realty/12614792/,raw,1.53,geo_recomputed,18.23,1.68,0.23,0.25,0.77,0.37,257285.42914171657,0.6666666666666666,24.0,0,13
all,14000000.0,46.0,2.0,1.0,9.0,"москва, ул. сахалинская, 4",55.825057,37.817232,Щелковская,25.0,6.0,unknown,панельные,1969.0,2.64,не угловая,"пассажирский, грузовой",4,двор,"наземный паркинг, гостевой паркинг",есть,https://msk.etagi.com/realty/12615047/,raw,2.05,geo_recomputed,14.98,0.84,0.33,0.11,0.49,0.38,304347.82608695654,0.1111111111111111,57.0,0,11
all,8600000.0,22.5,5.0,1.0,12.0,"москва, ул. маршала катукова, 14к1",55.807936,37.405597,Строгино,6.0,5.0,unknown,панельные,2002.0,2.68,не угловая,"пассажирский, грузовой",14к1,двор,наземный паркинг,нет,https://msk.etagi.com/realty/12615212/,raw,0.5,geo_recomputed,14.52,1.07,0.19,0.08,0.42,0.15,382222.22222222225,0.0833333333333333,24.0,1,2
all,22000000.0,65.0,0.0,3.0,5.0,"москва, ул. госпитальный вал, 5к16",55.774006,37.706092,Электрозаводская,10.0,7.0,косметический ремонт,монолитные,2002.0,2.64,не угловая,unknown,5к16,двор,наземный паркинг,нет,https://msk.etagi.com/realty/12615318/,raw,0.79,geo_recomputed,6.16,8.56,0.07,0.2,0.18,0.64,338461.53846153844,0.6,24.0,1,7
