geo_generation_cluster,original_rows,synthetic_rows,synthetic_to_original_ratio,metro_distance_km_non_missing_share_global,distance_to_center_km_non_missing_share_global,distance_to_mkad_km_non_missing_share_global,distance_to_school_km_non_missing_share_global,distance_to_kindergarten_km_non_missing_share_global,distance_to_clinic_km_non_missing_share_global,distance_to_mall_km_non_missing_share_global
0,142,284,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,58,116,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,104,208,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,61,122,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,34,68,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,86,172,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,61,122,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,80,160,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,122,244,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,104,208,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,95,190,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11,90,180,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12,44,88,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13,73,146,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14,28,56,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15,122,244,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
16,103,206,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
17,81,162,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18,102,204,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
19,28,56,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,109,218,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
21,132,264,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
22,68,136,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
23,87,174,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
24,54,108,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
