source_group,price,area_total,rooms,floor,floors_total,address,metro,metro_walk_min,kitchen_area,walls,link
4k,39990000,114.0,4,10,19,Посмотреть 5 фото,Немчиновка,32,15.0,Монолитный железобетонный каркас,https://msk.etagi.com/realty/12205369/
4k,32000000,97.4,4,,,"4к, 97.4м², 10 этаж, ул. Высоковольтный проезд, 1, Москва, квартира",На карте Верхние Лихоборы Бибирево,21,10.8,,https://msk.etagi.com/realty/12219043/
4k,20500000,75.7,4,1,12,"4к, 75.7м², 1/12 этаж, ул. Перерва, 10, Москва, квартира",,,15.0,Панельные,https://msk.etagi.com/realty/12219804/
4k,114000000,125.9,4,25,32,"4к, 125.9м², 25/32 этаж, ул. Летниковская, 11к1, Москва, квартира",На карте Павелецкая,12,15.0,Монолитные,https://msk.etagi.com/realty/12227773/
4k,30000000,100.0,4,2,14,"4к, 100м², 2/14 этаж, ул. Лермонтовский проспект, 6, Москва, квартира",На карте Косино,3,13.5,Панельные,https://msk.etagi.com/realty/12233361/
4k,125000000,106.2,4,2,6,"4к, 106.2м², 2/6 этаж, ул. Тверская, 6с3, Москва, квартира",На карте Театральная Чеховская,8,13.0,Монолитные,https://msk.etagi.com/realty/12240095/
4k,25800000,74.3,4,13,25,"4к, 74.3м², 13/25 этаж, ул. Муравская, 42к3, Москва, квартира",Пятницкое шоссе,18,20.0,Монолитные,https://msk.etagi.com/realty/12011085/
4k,75000000,107.0,4,4,4,"4к, 107м², 4/4 этаж, ул. Трубная, 22/1, Москва, квартира",,,15.0,Кирпичные,https://msk.etagi.com/realty/12034332/
4k,60000000,190.7,5,11,23,"5к, 190.7м², 11/23 этаж, ул. Ломоносовский проспект, 7к5, Москва, квартира",Университет,18,16.0,Кирпичные,https://msk.etagi.com/realty/12037493/
4k,130000000,114.5,4,2,6,"4к, 114.5м², 2/6 этаж, ул. переулок Сивцев Вражек, 12, Москва, квартира",Кропоткинская,8,70.0,Кирпич красный,https://msk.etagi.com/realty/12041712/
4k,30600000,90.5,4,4,17,"4к, 90.5м², 4/17 этаж, ул. Ленинградское шоссе, 108к1, Москва, квартира",Беломорская,11,11.0,Панельные,https://msk.etagi.com/realty/12060353/
4k,38000000,104.5,4,20,20,"4к, 104.5м², 20/20 этаж, ул. Тайнинская, 7к1, Москва, квартира",находится в,5,10.0,Монолитные,https://msk.etagi.com/realty/12062780/
4k,84500000,134.3,4,1,10,"4к, 134.3м², 1/10 этаж, ул. Восточная, 4ак2, Москва, квартира",На карте Дубровка,18,40.0,Монолитные,https://msk.etagi.com/realty/11844908/
4k,42000000,105.0,4,14,22,"4к, 105м², 14/22 этаж, ул. Мичуринский проспект, 27к2, Москва, квартира",На карте Раменки,3,11.0,Панельные,https://msk.etagi.com/realty/11846849/
4k,76290000,170.0,4,14,36,"4к, 170м², 14/36 этаж, ул. Василия Ланового, 3, Москва, квартира",Аминьевская,9,29.0,Другое,https://msk.etagi.com/realty/11854082/
4k,47800000,140.0,4,2,6,"4к, 140м², 2/6 этаж, ул. Юровская, 95к3, Москва, апартаменты",школа и сад в,3,30.0,Монолитно-Кирпичный,https://msk.etagi.com/realty/11867163/
4k,27800000,101.2,4,1,11,"4к, 101.2м², 1/11 этаж, ул. Новокуркинское шоссе, 27, Москва, квартира",Молжаниново,44,9.0,Монолитные,https://msk.etagi.com/realty/11867695/
4k,40900000,104.0,4,12,22,"4к, 104м², 12/22 этаж, ул. Сумской проезд, 8к3, Москва, квартира",Чертановская,11,11.0,Панели железобетонные,https://msk.etagi.com/realty/11878402/
4k,608670000,375.1,5,7,7,"5к, 375.1м², 7/7 этаж, ул. Большая Полянка, 44, Москва, квартира",На карте Добрынинская,8,50.0,Монолитно-Кирпичный,https://msk.etagi.com/realty/10885752/
4k,149942000,140.0,4,22,28,"4к, 140м², 22/28 этаж, ул. Академика Королёва, 21, Москва, квартира",Останкино,5,40.0,Монолитно-Кирпичный,https://msk.etagi.com/realty/10890536/
4k,19100000,96.2,4,15,25,"4к, 96.2м², 15/25 этаж, ул. Маресьева, 12к2, Москва, квартира",Некрасовка,23,10.0,Монолитный железобетонный каркас,https://msk.etagi.com/realty/10893729/
4k,55200000,130.4,4,17,24,"4к, 130.4м², 17/24 этаж, ул. бульвар Яна Райниса, 31, Москва, квартира",,,15.7,Кирпичные,https://msk.etagi.com/realty/10894967/
4k,25000000,80.0,4,1,9,"4к, 80м², 1/9 этаж, ул. Клары Цеткин, 19, Москва, квартира",Красный Балтиец,14,9.0,Крупнопанельные железобетонные плиты,https://msk.etagi.com/realty/10922855/
4k,145555000,153.2,6,28,32,"6к, 153.2м², 28/32 этаж, ул. Летниковская, 11к1, Москва, квартира",На карте Павелецкая,12,10.0,Монолитные,https://msk.etagi.com/realty/10924585/
4k,16700000,74.6,4,1,14,"4к, 74.6м², 1/14 этаж, ул. Уссурийская, 5к3, Москва, квартира",Щёлковская,30,9.2,Блочные,https://msk.etagi.com/realty/10422412/
4k,24850000,96.8,4,26,26,"4к, 96.8м², 26/26 этаж, ул. Варшавское шоссе, 170ек4, Москва, квартира",,,16.6,Монолитные,https://msk.etagi.com/realty/10437592/
4k,55000000,103.7,4,25,37,"4к, 103.7м², 25/37 этаж, ул. Озёрная, 1к2/5, Москва, квартира",в,10,30.4,Монолитные,https://msk.etagi.com/realty/10441265/
4k,59900000,156.1,4,5,17,"4к, 156.1м², 5/17 этаж, ул. Мичуринский проспект, 19к1, Москва, квартира",На карте Раменки,6,70.0,Панельные,https://msk.etagi.com/realty/10489902/
4k,670000000,255.0,4,12,12,"4к, 255м², 12/12 этаж, ул. Ефремова, 10к1, Москва, квартира",Фрунзенская,8,25.0,Монолитные,https://msk.etagi.com/realty/10514693/
4k,270000000,206.8,4,2,13,"4к, 206.8м², 2/13 этаж, ул. Братьев Фонченко, 1к5, Москва, квартира",Поклонная,3,48.6,Монолитно-Кирпичный,https://msk.etagi.com/realty/10527445/
4k,55990000,115.0,4,24,25,"4к, 115м², 24/25 этаж, ул. Лобачевского, 118к5, Москва, квартира",Аминьевская,8,27.0,Монолитные,https://msk.etagi.com/realty/9044156/
4k,58000000,113.0,4,16,33,"4к, 113м², 16/33 этаж, ул. Дубининская, 59б, Москва, квартира",а в,5,40.0,Монолитно-Кирпичный,https://msk.etagi.com/realty/9158791/
4k,60000000,145.0,4,5,8,"4к, 145м², 5/8 этаж, ул. Садовая-Спасская, 19/1, Москва, квартира",Красные Ворота,3,35.0,Кирпичные,https://msk.etagi.com/realty/9615566/
4k,80000000,167.9,4,6,48,"4к, 167.9м², 6/48 этаж, ул. Авиационная, 79к1, Москва, квартира",Щукинская,12,15.0,Кирпичные,https://msk.etagi.com/realty/9648994/
4k,29500000,105.0,4,14,21,"4к, 105м², 14/21 этаж, ул. Саратовская, 31, Москва, квартира",На карте Стахановская,15,11.0,Панельные,https://msk.etagi.com/realty/9744757/
4k,28000000,106.4,4,16,21,"4к, 106.4м², 16/21 этаж, ул. Саратовская, 31, Москва, квартира",На карте Стахановская,15,10.0,Панельные,https://msk.etagi.com/realty/9752299/
