price,area_total,rooms,floor,floors_total,latitude,longitude,metro_walk_min,kitchen_area,build_year,ceiling_height,floor_position,yard,playground,address_source,metro_distance_km,metro_source,distance_to_center_km,distance_to_mkad_km,distance_to_school_km,distance_to_kindergarten_km,distance_to_clinic_km,distance_to_mall_km,price_per_m2,parking_underground,parking_ground,parking_multilevel,parking_open,elevator_passenger,elevator_cargo,walls_norm_block,walls_norm_brick,walls_norm_monolith,walls_norm_other,walls_norm_panel,walls_norm_unknown,renovation_norm_cosmetic,renovation_norm_good,renovation_norm_no_repair,renovation_norm_other,renovation_norm_unknown
15450000.0,35.7,1.0,5.0,25.0,55.658007,37.726277,8.0,17.0,,2.62,не угловая,Двор,нет,raw,0.7,geo_recomputed,12.56,5.66,0.22,0.42,0.91,0.18,432773.1092436974,0,0,0,0,0,0,False,False,False,False,True,False,False,True,False,False,False
10490000.0,24.0,0.0,11.0,32.0,55.627829,37.644073,14.0,7.0,,,не угловая,Парковка,нет,raw,1.2,geo_recomputed,13.94,6.03,0.58,0.4,0.39,0.18,437083.3333333333,1,1,0,0,0,0,False,False,True,False,False,False,False,False,False,True,False
12600000.0,34.5,1.0,8.0,9.0,55.883318,37.562371,4.0,7.0,1973.0,2.64,не угловая,Двор,есть,raw,0.34,geo_recomputed,14.95,2.89,0.17,0.14,0.67,0.07,365217.39130434784,0,1,0,0,1,0,False,False,False,False,True,False,False,False,False,True,False
17500000.0,41.9,2.0,5.0,5.0,55.81958,37.659605,14.0,5.6,1962.0,2.64,не угловая,Двор,нет,raw,1.18,geo_recomputed,7.98,7.95,0.1,0.32,0.52,0.22,417661.0978520287,0,0,0,0,0,0,False,True,False,False,False,False,True,False,False,False,False
10700000.0,35.3,1.0,4.0,14.0,55.570594,37.283139,48.0,10.0,,,не угловая,Двор,нет,geo,4.02,geo_recomputed,29.03,13.46,0.38,0.16,3.46,3.02,303116.1473087819,0,1,0,0,0,0,False,False,True,False,False,False,True,False,False,False,False
19500000.0,41.5,2.0,3.0,5.0,55.878738,37.572935,7.0,6.0,,,не угловая,Детская площадка,нет,raw,0.55,geo_recomputed,14.32,3.51,0.45,0.12,0.48,0.13,469879.5180722892,0,0,0,0,0,0,False,False,False,True,False,False,True,False,False,False,False
18000000.0,30.0,1.0,2.0,14.0,55.707852,37.606559,12.0,4.0,2022.0,3.0,не угловая,Двор,нет,raw,1.02,geo_recomputed,4.96,11.93,0.47,0.25,0.27,0.13,600000.0,1,0,0,0,1,1,False,False,True,False,False,False,False,False,False,False,True
30500000.0,72.0,3.0,1.0,17.0,55.691785,37.498249,8.0,9.0,1985.0,2.64,не угловая,Двор,есть,raw,0.64,geo_recomputed,9.96,5.09,0.18,0.07,0.26,0.18,423611.1111111111,0,1,0,0,1,1,False,False,False,False,True,False,False,True,False,False,False
19500000.0,63.6,3.0,11.0,24.0,55.723759,37.686025,2.0,3.5,,,не угловая,Двор,нет,raw,0.21,geo_recomputed,5.43,9.46,0.78,0.53,0.7,0.15,306603.77358490566,1,0,0,0,0,1,False,False,True,False,False,False,False,False,True,False,False
27985000.0,45.0,1.0,19.0,29.0,55.720023,37.688782,7.0,22.0,2023.0,3.0,не угловая,Двор,нет,raw,0.59,geo_recomputed,5.81,9.19,1.07,0.09,0.41,0.37,621888.8888888889,1,0,0,0,1,1,False,False,True,False,False,False,False,False,False,False,True
60900000.0,120.0,4.0,3.0,18.0,55.790357,37.458076,26.0,37.1,2020.0,3.0,угловая,Двор,нет,raw,2.14,geo_recomputed,10.73,4.75,0.32,0.41,0.51,0.76,507500.0,1,1,0,0,1,1,False,False,True,False,False,False,False,False,True,False,False
14600000.0,46.0,2.0,2.0,14.0,55.624911,37.600855,7.0,6.5,,,не угловая,Двор,нет,raw,0.58,geo_recomputed,14.18,5.17,0.48,0.09,0.54,0.2,317391.3043478261,0,0,0,0,1,1,False,False,True,False,False,False,True,False,False,False,False
12700000.0,38.5,1.0,8.0,14.0,55.717574,37.888621,13.0,7.3,2005.0,2.7,не угловая,Двор,есть,raw,1.09,geo_recomputed,17.52,3.11,0.29,0.07,0.47,0.12,329870.12987012987,0,1,0,0,1,1,False,False,False,False,True,False,True,False,False,False,False
145000000.0,160.6,5.0,12.0,16.0,55.702906,37.511508,9.0,16.0,1979.0,2.64,не угловая,Двор,есть,raw,0.75,geo_recomputed,8.52,6.3,0.08,0.1,0.15,0.43,902864.2590286427,1,1,0,0,1,1,False,False,False,False,True,False,False,False,False,False,True
26500000.0,60.0,2.0,11.0,22.0,55.632814,37.612506,11.0,10.5,1991.0,2.65,не угловая,Двор,есть,raw,0.95,geo_recomputed,13.28,6.27,0.23,0.4,0.72,0.21,441666.6666666667,0,1,0,0,1,1,False,False,False,False,True,False,False,False,False,False,True
10350000.0,28.3,1.0,1.0,8.0,55.796643,37.781659,12.0,6.0,,2.6,не угловая,Двор,нет,raw,1.0,geo_recomputed,11.5,3.68,0.26,0.14,0.27,0.23,365724.38162544166,0,1,0,0,1,0,False,False,False,True,False,False,False,False,True,False,False
16250000.0,34.9,1.0,11.0,12.0,55.80866,37.569773,9.0,8.0,1969.0,2.64,не угловая,Двор,нет,raw,0.75,geo_recomputed,6.9,10.25,0.49,0.23,0.02,0.24,465616.04584527225,0,1,0,0,0,0,False,True,False,False,False,False,True,False,False,False,False
15700000.0,46.0,2.0,2.0,12.0,55.606527,37.740165,8.0,7.0,1977.0,2.64,не угловая,Двор,есть,raw,0.68,geo_recomputed,17.98,0.9,0.08,0.14,0.47,0.11,341304.347826087,0,1,0,0,1,1,False,False,False,False,True,False,True,False,False,False,False
13450000.0,37.6,2.0,2.0,9.0,55.789254,37.812758,12.0,6.0,1972.0,2.5,угловая,Двор,есть,raw,1.01,geo_recomputed,13.0,1.78,0.05,0.41,0.29,0.44,357712.76595744677,0,1,0,0,1,1,False,False,False,True,False,False,False,False,True,False,False
24990000.0,38.6,2.0,4.0,26.0,55.841625,37.489706,4.0,18.0,,2.8,не угловая,Двор,нет,raw,0.32,geo_recomputed,12.68,4.84,0.47,0.29,0.36,0.16,647409.3264248704,0,0,0,0,1,1,False,False,True,False,False,False,False,False,False,False,True
17100000.0,35.0,1.0,2.0,12.0,55.801981,37.722496,10.0,9.0,1972.0,2.48,не угловая,Двор,нет,raw,0.84,geo_recomputed,8.68,6.74,0.09,0.2,0.09,0.26,488571.4285714286,0,0,0,0,1,1,False,False,False,True,False,False,False,False,False,False,True
14800000.0,37.0,1.0,5.0,13.0,,,15.0,7.0,,,не угловая,Двор,нет,raw,,raw,,,,,,,400000.0,1,1,0,0,0,0,False,False,True,False,False,False,False,True,False,False,False
26200000.0,52.0,2.0,7.0,22.0,55.736615,37.466009,1.0,9.0,2018.0,2.64,не угловая,Двор,есть,raw,0.08,geo_recomputed,9.52,5.53,0.23,0.13,0.35,0.09,503846.1538461539,0,1,0,0,1,1,False,False,True,False,False,False,False,True,False,False,False
15200000.0,33.0,1.0,8.0,9.0,55.830832,37.586571,11.0,5.0,,2.5,не угловая,Детская площадка,нет,raw,0.9,geo_recomputed,8.93,8.09,0.31,0.23,0.39,0.32,460606.0606060606,0,0,0,0,0,0,False,False,False,False,True,False,False,False,False,False,True
12400000.0,22.0,0.0,18.0,20.0,55.644318,37.380687,7.0,5.0,,,не угловая,Детская площадка,нет,raw,0.57,geo_recomputed,18.99,3.81,0.48,0.35,0.76,0.82,563636.3636363636,0,0,0,0,0,1,False,True,False,False,False,False,False,False,True,False,False
