source_group,price,area_total,rooms,floor,floors_total,address,latitude,longitude,metro,metro_walk_min,kitchen_area,renovation,walls,build_year,ceiling_height,floor_position,elevator,house_number,yard,parking,playground,link
all,15450000,35.7,1,5,25,"Москва, ул. Люблинская",55.658007,37.726277,Перерва,15,17.0,евроремонт,панельные,,2.62,не угловая,,13.3,Двор,парковка во дворе,нет,https://msk.etagi.com/realty/11754972/
all,10490000,24.0,0,11,32,"Москва, ул. Кавказский бульвар, 51 (14 км до центра)",55.627829,37.644073,Кантемировская,30,7.0,без отделки,монолитно-кирпичный,,,не угловая,,51,Парковка,"наземный паркинг, подземный паркинг",нет,https://msk.etagi.com/realty/12122401/
all,12600000,34.5,1,8,9,"Москва, ул. 800-летия Москвы, 11к8",55.883318,37.562371,,,7.0,чистовая отделка,панельные,1973,2.64,не угловая,пассажирский,11к8,Двор,"наземный паркинг, гостевой паркинг",есть,https://msk.etagi.com/realty/12239253/
all,17500000,41.9,2,5,5,"Москва, ул. Константинова, 32к1",55.81958,37.659605,,,5.6,косметический ремонт,кирпичные,1962,2.64,не угловая,,32к1,Двор,,нет,https://msk.etagi.com/realty/12403904/
all,10700000,35.3,1,4,14,,55.570594,37.283139,,,10.0,косметический ремонт,монолитно-кирпичный,,,не угловая,,7,Двор,наземный паркинг,нет,https://msk.etagi.com/realty/12445843/
all,19500000,41.5,2,3,5,"Москва, ул. Путевой проезд, 40к2",55.878738,37.572935,,,6.0,косметический ремонт,крупноблочные,,,не угловая,,40к2,Детская площадка,,нет,https://msk.etagi.com/realty/12446537/
all,18000000,30.0,1,2,14,"Москва, ул. 4-й Верхний Михайловский проезд, 1 (5 км до центра)",55.707852,37.606559,Тульская,15,4.0,,монолитно-кирпичный,2022,3.0,не угловая,"пассажирский, пассажирский и грузовой",1,Двор,подземный паркинг,нет,https://msk.etagi.com/realty/12473864/
all,30500000,72.0,3,1,17,"Москва, ул. Раменки, 11к1 (16 км до центра)",55.691785,37.498249,Раменки,15,9.0,евроремонт,панельные,1985,2.64,не угловая,"пассажирский, грузовой",11к1,Двор,наземный паркинг,есть,https://msk.etagi.com/realty/12474817/
all,19500000,63.6,3,11,24,"Москва, ул. Новоостаповская, 20 (6 км до центра)",55.723759,37.686025,Волгоградский проспект,15,3.5,черновая отделка,монолитные,,,не угловая,грузовой,20,Двор,подземный паркинг,нет,https://msk.etagi.com/realty/12540256/
all,27985000,45.0,1,19,29,"Москва, ул. Волгоградский проспект, 32/5к4 (5 км до центра)",55.720023,37.688782,Угрешская,15,22.0,,монолитные,2023,3.0,не угловая,"пассажирский, грузовой",32/5к4,Двор,"подземный паркинг, гостевой паркинг",нет,https://msk.etagi.com/realty/12600564/
all,60900000,120.0,4,3,18,"Москва, ул. Паршина, 10",55.790357,37.458076,,,37.1,черновая отделка,монолитные,2020,3.0,угловая,"пассажирский и грузовой, пассажирский",10,Двор,"подземный паркинг, наземный паркинг",нет,https://msk.etagi.com/realty/12613901/
all,14600000,46.0,2,2,14,"Москва, ул. Сумская, 8к3",55.624911,37.600855,Южная,15,6.5,косметический ремонт,сборно-монолитный железобетонный каркас,,,не угловая,"пассажирский, грузовой",8к3,Двор,,нет,https://msk.etagi.com/realty/12625585/
all,12700000,38.5,1,8,14,"Москва, ул. Руднёвка, 25 (29 км до центра)",55.717574,37.888621,Улица Дмитриевского,15,7.3,косметический ремонт,панельные,2005,2.7,не угловая,"пассажирский, грузовой",25,Двор,наземный паркинг,есть,https://msk.etagi.com/realty/12625744/
all,145000000,160.6,5,12,16,"Москва, ул. Мичуринский проспект, 5",55.702906,37.511508,Ломоносовский проспект,15,16.0,,панельные,1979,2.64,не угловая,"пассажирский, грузовой",5,Двор,"наземный паркинг, гостевой паркинг, подземный паркинг",есть,https://msk.etagi.com/realty/12627020/
all,26500000,60.0,2,11,22,"Москва, ул. Кировоградская, 2 (11 км до центра)",55.632814,37.612506,Чертановская,15,10.5,,панельные,1991,2.65,не угловая,"пассажирский, грузовой",2,Двор,наземный паркинг,есть,https://msk.etagi.com/realty/12627062/
all,10350000,28.3,1,1,8,"Москва, ул. 3-я Парковая, 35 (11 км до центра)",55.796643,37.781659,Измайловская,15,6.0,требует ремонта / частичный ремонт,блочные,,2.6,не угловая,пассажирский,35,Двор,"наземный паркинг, гостевой паркинг",нет,https://msk.etagi.com/realty/12627448/
all,16250000,34.9,1,11,12,"Москва, ул. Тимирязевская, 7",55.80866,37.569773,Дмитровская,15,8.0,косметический ремонт,кирпичные,1969,2.64,не угловая,,7,Двор,"наземный паркинг, гостевой паркинг",нет,https://msk.etagi.com/realty/12627462/
all,15700000,46.0,2,2,12,"Москва, ул. Ясеневая, 35 (18 км до центра)",55.606527,37.740165,Зябликово,15,7.0,косметический ремонт,панельные,1977,2.64,не угловая,"пассажирский, грузовой",35,Двор,наземный паркинг,есть,https://msk.etagi.com/realty/12627935/
all,13450000,37.6,2,2,9,"Москва, ул. Измайловский проспект, 115а (20 км до центра)",55.789254,37.812758,Первомайская,15,6.0,требует ремонта / частичный ремонт,блочные,1972,2.5,угловая,"пассажирский, грузовой",115а,Двор,наземный паркинг,есть,https://msk.etagi.com/realty/12628204/
