source_group,price,area_total,rooms,floor,floors_total,address,latitude,longitude,metro,metro_walk_min,kitchen_area,renovation,walls,build_year,ceiling_height,floor_position,elevator,house_number,yard,parking,playground,link,address_source,metro_distance_km,metro_source,distance_to_center_km,distance_to_mkad_km,distance_to_school_km,distance_to_kindergarten_km,distance_to_clinic_km,distance_to_mall_km
all,15450000.0,35.7,1.0,5.0,25.0,"Москва, ул. Люблинская",55.658007,37.726277,Перерва,8.0,17.0,евроремонт,панельные,,2.62,не угловая,,13.3,Двор,парковка во дворе,нет,https://msk.etagi.com/realty/11754972/,raw,0.7,geo_recomputed,12.56,5.66,0.22,0.42,0.91,0.18
all,10490000.0,24.0,0.0,11.0,32.0,"Москва, ул. Кавказский бульвар, 51 (14 км до центра)",55.627829,37.644073,Кантемировская,14.0,7.0,без отделки,монолитно-кирпичный,,,не угловая,,51,Парковка,"наземный паркинг, подземный паркинг",нет,https://msk.etagi.com/realty/12122401/,raw,1.2,geo_recomputed,13.94,6.03,0.58,0.4,0.39,0.18
all,12600000.0,34.5,1.0,8.0,9.0,"Москва, ул. 800-летия Москвы, 11к8",55.883318,37.562371,Бескудниково,4.0,7.0,чистовая отделка,панельные,1973.0,2.64,не угловая,пассажирский,11к8,Двор,"наземный паркинг, гостевой паркинг",есть,https://msk.etagi.com/realty/12239253/,raw,0.34,geo_recomputed,14.95,2.89,0.17,0.14,0.67,0.07
all,17500000.0,41.9,2.0,5.0,5.0,"Москва, ул. Константинова, 32к1",55.81958,37.659605,ВДНХ,14.0,5.6,косметический ремонт,кирпичные,1962.0,2.64,не угловая,,32к1,Двор,,нет,https://msk.etagi.com/realty/12403904/,raw,1.18,geo_recomputed,7.98,7.95,0.1,0.32,0.52,0.22
all,10700000.0,35.3,1.0,4.0,14.0,"Пятёрочка, улица Усадебный Парк, Жилой комплекс ""Середневский лес"", Филимонковский район, Москва, Центральный федеральный округ, 108821, Россия",55.570594,37.283139,Аэропорт Внуково,48.0,10.0,косметический ремонт,монолитно-кирпичный,,,не угловая,,7,Двор,наземный паркинг,нет,https://msk.etagi.com/realty/12445843/,geo,4.02,geo_recomputed,29.03,13.46,0.38,0.16,3.46,3.02
all,19500000.0,41.5,2.0,3.0,5.0,"Москва, ул. Путевой проезд, 40к2",55.878738,37.572935,Бескудниково,7.0,6.0,косметический ремонт,крупноблочные,,,не угловая,,40к2,Детская площадка,,нет,https://msk.etagi.com/realty/12446537/,raw,0.55,geo_recomputed,14.32,3.51,0.45,0.12,0.48,0.13
all,18000000.0,30.0,1.0,2.0,14.0,"Москва, ул. 4-й Верхний Михайловский проезд, 1 (5 км до центра)",55.707852,37.606559,Тульская,12.0,4.0,,монолитно-кирпичный,2022.0,3.0,не угловая,"пассажирский, пассажирский и грузовой",1,Двор,подземный паркинг,нет,https://msk.etagi.com/realty/12473864/,raw,1.02,geo_recomputed,4.96,11.93,0.47,0.25,0.27,0.13
all,30500000.0,72.0,3.0,1.0,17.0,"Москва, ул. Раменки, 11к1 (16 км до центра)",55.691785,37.498249,Раменки,8.0,9.0,евроремонт,панельные,1985.0,2.64,не угловая,"пассажирский, грузовой",11к1,Двор,наземный паркинг,есть,https://msk.etagi.com/realty/12474817/,raw,0.64,geo_recomputed,9.96,5.09,0.18,0.07,0.26,0.18
all,19500000.0,63.6,3.0,11.0,24.0,"Москва, ул. Новоостаповская, 20 (6 км до центра)",55.723759,37.686025,Волгоградский проспект,2.0,3.5,черновая отделка,монолитные,,,не угловая,грузовой,20,Двор,подземный паркинг,нет,https://msk.etagi.com/realty/12540256/,raw,0.21,geo_recomputed,5.43,9.46,0.78,0.53,0.7,0.15
all,27985000.0,45.0,1.0,19.0,29.0,"Москва, ул. Волгоградский проспект, 32/5к4 (5 км до центра)",55.720023,37.688782,Угрешская,7.0,22.0,,монолитные,2023.0,3.0,не угловая,"пассажирский, грузовой",32/5к4,Двор,"подземный паркинг, гостевой паркинг",нет,https://msk.etagi.com/realty/12600564/,raw,0.59,geo_recomputed,5.81,9.19,1.07,0.09,0.41,0.37
