source_group,url
all,https://msk.etagi.com/realty/?seller%5B%5D=owner
studio,https://msk.etagi.com/realty/?seller%5B%5D=owner&studio%5B%5D=true&rooms%5B%5D=true
1k,https://msk.etagi.com/realty/?seller%5B%5D=owner&rooms%5B%5D=1
2k,https://msk.etagi.com/realty/?seller%5B%5D=owner&rooms%5B%5D=2
3k,https://msk.etagi.com/realty/?seller%5B%5D=owner&rooms%5B%5D=3
4k,https://msk.etagi.com/realty/?seller%5B%5D=owner&rooms%5B%5D=%3E4
all-akademicheskaya,https://msk.etagi.com/realty/?seller%5B%5D=owner&district_id%5B%5D=3761
all-alekseevskii,https://msk.etagi.com/realty/?seller%5B%5D=owner&district_id%5B%5D=3762
all-altyfvevskii,https://msk.etagi.com/realty/?seller%5B%5D=owner&district_id%5B%5D=3763
all-arbat,https://msk.etagi.com/realty/?seller%5B%5D=owner&district_id%5B%5D=3764
all-aeroport,https://msk.etagi.com/realty/?seller%5B%5D=owner&district_id%5B%5D=3765
all-babushkinskii,https://msk.etagi.com/realty/?seller%5B%5D=owner&district_id%5B%5D=3766
all-basmannyi,https://msk.etagi.com/realty/?seller%5B%5D=owner&district_id%5B%5D=3767
all-begovoi,https://msk.etagi.com/realty/?seller%5B%5D=owner&district_id%5B%5D=3768
all-beskudnikovskii,https://msk.etagi.com/realty/?seller%5B%5D=owner&district_id%5B%5D=3769
all-bibirevo,https://msk.etagi.com/realty/?seller%5B%5D=owner&district_id%5B%5D=3770
all-biryulevo-vostok,https://msk.etagi.com/realty/?seller%5B%5D=owner&district_id%5B%5D=3771
all-biryulevo-zapad,https://msk.etagi.com/realty/?seller%5B%5D=owner&district_id%5B%5D=3772
all-bogorodskoe,https://msk.etagi.com/realty/?seller%5B%5D=owner&district_id%5B%5D=3773
all-brateevo,https://msk.etagi.com/realty/?seller%5B%5D=owner&district_id%5B%5D=3774
all-butyrskii,https://msk.etagi.com/realty/?seller%5B%5D=owner&district_id%5B%5D=3775
all-veshnyaki,https://msk.etagi.com/realty/?seller%5B%5D=owner&district_id%5B%5D=3776
all-vnukovo,https://msk.etagi.com/realty/?seller%5B%5D=owner&district_id%5B%5D=3777
all-voikovskii,https://msk.etagi.com/realty/?seller%5B%5D=owner&district_id%5B%5D=3779
all-vostochnoe-degunino,https://msk.etagi.com/realty/?seller%5B%5D=owner&district_id%5B%5D=4043
all-vostochnoe-izmailovo,https://msk.etagi.com/realty/?seller%5B%5D=owner&district_id%5B%5D=3780
all-vostochnii,https://msk.etagi.com/realty/?seller%5B%5D=owner&district_id%5B%5D=3781
all-vyhino-zhulebino,https://msk.etagi.com/realty/?seller%5B%5D=owner&district_id%5B%5D=3782
all-gagarinskii,https://msk.etagi.com/realty/?seller%5B%5D=owner&district_id%5B%5D=3783
