source_group,price,area_total,rooms,floor,floors_total,address,latitude,longitude,metro,metro_walk_min,kitchen_area,renovation,walls,build_year,ceiling_height,floor_position,elevator,house_number,yard,parking,playground,link,address_source,metro_distance_km,metro_source,distance_to_center_km,distance_to_mkad_km,distance_to_school_km,distance_to_kindergarten_km,distance_to_clinic_km,distance_to_mall_km,price_per_m2,floor_ratio,house_age,has_metro_near,geo_generation_cluster,is_synthetic,generation_method,parent_geo_cluster
1k,19326324.78111738,37.424410562856686,1.0,4.0,24.0,"16 с8, улица Генерала Дорохова, район Очаково-Матвеевское, Москва, Центральный федеральный округ, 119530, Россия",55.69461426519725,37.44780446307247,Аминьевская,13,12.148654601973629,чистовая отделка,монолитные,2002.0,2.677157001419841,,unknown,,unknown,unknown,,synthetic,geo,1.07,geo_recomputed,12.31,2.2,0.61,0.68,0.92,0.53,516409.5971173035,0.1666666666666666,24.0,1,0,1,geo_cluster_interpolation,0
all,37746061.3970387,44.71410714767904,2.0,16.0,24.0,"Веерная улица, район Очаково-Матвеевское, Москва, Центральный федеральный округ, 119501, Россия",55.71005575379544,37.48832688839186,Матвеевское,8,16.20095143579527,ремонт по дизайн-проекту,монолитные,2022.0,2.875705043340783,не угловая,unknown,,детская площадка,unknown,нет,synthetic,geo,0.71,geo_recomputed,9.24,5.19,0.57,0.3,0.63,0.27,844164.4886785571,0.6666666666666666,4.0,1,0,1,geo_cluster_interpolation,0
all-mozhaiskii,18651125.77227828,47.74285840638749,2.0,10.0,15.0,"21, Полоцкая улица, район Кунцево, Москва, Центральный федеральный округ, 121351, Россия",55.73266210985525,37.42403428830492,Рабочий Посёлок,10,9.01153449185777,требует ремонта / частичный ремонт,кирпичные,1986.0,2.8159487772904392,не угловая,unknown,,двор,наземный паркинг,нет,synthetic,geo,0.83,geo_recomputed,12.19,2.88,0.05,0.28,0.21,0.48,390657.9202593985,0.6666666666666666,40.0,1,0,1,geo_cluster_interpolation,0
all,38421906.42682075,57.19316713138939,2.0,19.0,26.0,"17, Сафоновская улица, Можайский район, Москва, Центральный федеральный округ, 121374, Россия",55.72234213337408,37.437473416718674,Кунцевская,12,18.596049112973503,ремонт по дизайн-проекту,монолитно-заливные,2019.0,2.667840075830885,не угловая,unknown,,детская площадка,unknown,нет,synthetic,geo,1.03,geo_recomputed,11.63,3.29,0.49,0.24,0.15,0.03,671791.9002204306,0.7307692307692307,7.0,1,0,1,geo_cluster_interpolation,0
all,15586466.066793123,26.06071113059477,1.0,10.0,22.0,"проектируемый проезд № 1438, район Очаково-Матвеевское, Москва, Центральный федеральный округ, 121353, Россия",55.700437888951335,37.43799731137544,Аминьевская,20,4.367173928175836,евроремонт,сборно-монолитный железобетонный каркас,2002.0,2.822989644246747,не угловая,грузовой,,двор,"наземный паркинг, подземный паркинг",нет,synthetic,geo,1.68,geo_recomputed,12.52,1.88,1.33,1.23,1.48,1.24,598082.9144947974,0.4545454545454545,24.0,0,0,1,geo_cluster_interpolation,0
all,30597855.146130875,51.9654361652127,2.0,23.0,28.0,"улица Лобачевского, Кинематографический квартал, Жилой комплекс ""Событие"", район Раменки, Москва, Центральный федеральный округ, 119517, Россия",55.69473598982195,37.466805580613915,Аминьевская,4,11.49345450555035,unknown,монолитные,2023.0,2.7593137944162,не угловая,"пассажирский, грузовой, пассажирский и грузовой",,двор,"подземный паркинг, наземный паркинг",нет,synthetic,geo,0.32,geo_recomputed,11.3,3.35,0.56,0.44,0.4,0.21,588811.6679873851,0.8214285714285714,3.0,1,0,1,geo_cluster_interpolation,0
1k,20053749.77378206,38.59164027247226,1.0,3.0,25.0,"7, Очаковское шоссе, район Очаково-Матвеевское, Москва, Центральный федеральный округ, 119530, Россия",55.692538423430854,37.460554881043045,Аминьевская,7,9.649589787102814,чистовая отделка,монолитные,2000.0,2.672760844292075,,unknown,,unknown,unknown,,synthetic,geo,0.57,geo_recomputed,11.76,2.92,0.39,0.15,0.42,0.34,519639.7362795322,0.12,26.0,1,0,1,geo_cluster_interpolation,0
all,28639726.77356749,60.025905681104774,2.0,2.0,17.0,"8 к1, Очаковское шоссе, район Очаково-Матвеевское, Москва, Центральный федеральный округ, 119530, Россия",55.695321943346144,37.4587392520423,Аминьевская,5,12.165126599858104,unknown,монолитные,1991.0,2.68588770088389,не угловая,"пассажирский, грузовой",,двор,"подземный паркинг, наземный паркинг, гостевой паркинг",нет,synthetic,geo,0.4,geo_recomputed,11.68,2.88,0.09,0.06,0.69,0.3,477122.77638457745,0.1176470588235294,35.0,1,0,1,geo_cluster_interpolation,0
all,60455369.759520054,124.80144740936156,3.0,14.0,37.0,"1 к3, улица Янковского, Жилой комплекс «Событие», Жилой комплекс ""Событие"", район Раменки, Москва, Центральный федеральный округ, 119361, Россия",55.69572057776638,37.47444516062478,Аминьевская,7,28.015218752471107,ремонт по дизайн-проекту,монолитный железобетонный каркас,2023.0,2.685770862093331,,unknown,,unknown,unknown,,synthetic,geo,0.58,geo_recomputed,10.84,3.85,0.73,0.58,0.67,0.69,484412.408785775,0.3783783783783784,3.0,1,0,1,geo_cluster_interpolation,0
all,17445902.104288515,36.42630346101257,1.0,6.0,26.0,"улица Жириновского, Матвеевское, Жилой комплекс «Нежинский Ковчег», район Очаково-Матвеевское, Москва, Центральный федеральный округ, 119517, Россия",55.70998987060513,37.46459210052989,Давыдково,12,11.676275079148333,ремонт от строителей,монолитные,2004.0,2.678006049436056,,unknown,,unknown,unknown,,synthetic,geo,1.0,geo_recomputed,10.56,3.86,0.52,0.29,0.93,0.39,478936.9342118679,0.2307692307692307,22.0,1,0,1,geo_cluster_interpolation,0
