source_group,price,area_total,rooms,floor,floors_total,address,latitude,longitude,metro,metro_walk_min,kitchen_area,renovation,walls,build_year,ceiling_height,floor_position,elevator,house_number,yard,parking,playground,link,address_source,metro_distance_km,metro_source,distance_to_center_km,distance_to_mkad_km,distance_to_school_km,distance_to_kindergarten_km,distance_to_clinic_km,distance_to_mall_km,price_per_m2,floor_ratio,house_age,has_metro_near,geo_generation_cluster,is_synthetic,generation_method,parent_geo_cluster
all,68627500.77682231,79.87891865536258,3,29,52,"Ozon, 56, Мичуринский проспект, Кинематографический квартал, Жилой комплекс ""Событие"", район Раменки, Москва, Центральный федеральный округ, 119192, Россия",55.69586540147589,37.48501294441763,Мичуринский проспект,9,18.94403705249521,unknown,монолитные,2002,2.73,не угловая,"пассажирский, грузовой, пассажирский и грузовой",,двор,"подземный паркинг, наземный паркинг",нет,synthetic,geo,0.79,geo_recomputed,10.3,4.5,0.38,0.36,0.15,0.45,859144.0887290364,0.5576923076923077,24.0,1,0,1,geo_cluster_bootstrap_mixup_tail_v3,0
2k,28160109.988357488,55.85189954914075,2,10,17,"93 к2, Рублёвское шоссе (дублёр), район Кунцево, Москва, Центральный федеральный округ, 121615, Россия",55.739904986518546,37.42568999837426,Молодежная,8,11.547637889690964,unknown,панельные,2011,2.68,не угловая,"пассажирский, грузовой",,двор,наземный паркинг,есть,synthetic,geo,0.65,geo_recomputed,11.96,3.2,0.33,0.14,0.32,0.24,504192.5201412548,0.5882352941176471,15.0,1,0,1,geo_cluster_bootstrap_mixup_tail_v3,0
all-mozhaiskii,44376800.25284025,93.7398381967526,3,5,5,"Нежинская улица, Жилой комплекс «Нежинский Ковчег», район Очаково-Матвеевское, Москва, Центральный федеральный округ, 119517, Россия",55.70754807337336,37.470134170385506,Матвеевское,10,12.027636933493335,требует ремонта / частичный ремонт,кирпичные,2002,3.1,не угловая,"пассажирский, грузовой",,двор,"наземный паркинг, подземный паркинг, гостевой паркинг",есть,synthetic,geo,0.82,geo_recomputed,10.37,4.04,0.27,0.14,0.76,0.08,473403.8494892301,1.0,24.0,1,0,1,geo_cluster_bootstrap_mixup_tail_v3,0
2k,16396784.745944064,39.57758275174971,2,6,14,"18 к2, Матвеевская улица, Матвеевское, район Очаково-Матвеевское, Москва, Центральный федеральный округ, 119517, Россия",55.703670869297255,37.46837848512018,Аминьевская,6,6.985480986301362,косметический ремонт,панельные,2004,2.7,не угловая,unknown,,unknown,unknown,нет,synthetic,geo,0.47,geo_recomputed,10.68,3.76,0.24,0.33,1.17,0.16,414294.74985354353,0.4285714285714285,22.0,1,0,1,geo_cluster_bootstrap_mixup_tail_v3,0
all,12583999.19697606,31.83381849406382,1,4,5,"24 к1, улица Гришина, Можайский район, Москва, Центральный федеральный округ, 121354, Россия",55.72540175351292,37.41532677945192,Рабочий Посёлок,2,6.419248771044118,косметический ремонт,кирпичные,2002,2.68,не угловая,"пассажирский, грузовой",,двор,наземный паркинг,есть,synthetic,geo,0.17,geo_recomputed,12.89,2.13,0.31,0.39,0.89,0.15,395302.8506248049,0.8,24.0,1,0,1,geo_cluster_bootstrap_mixup_tail_v3,0
all,27683606.021258704,55.1414711203518,2,13,15,"улица Академика Анохина, Олимпийская деревня, Тропарёво-Никулино, Москва, Центральный федеральный округ, 119602, Россия",55.66669124677388,37.467251220339776,Юго-Западная,13,9.803927076425198,unknown,панельные,1959,3.0,не угловая,"пассажирский, грузовой",,двор,"наземный паркинг, парковка во дворе",нет,synthetic,geo,1.05,geo_recomputed,13.3,2.11,0.29,0.14,0.4,0.24,502046.92509629374,0.8666666666666667,67.0,1,0,1,geo_cluster_bootstrap_mixup_tail_v3,0
all,52584442.670143306,111.83552838271488,3,34,42,"Мосфильмовская улица, Кинематографический квартал, Жилой комплекс ""Событие"", район Раменки, Москва, Центральный федеральный округ, 119517, Россия",55.697225723640926,37.47131030355854,Аминьевская,4,28.627413777715063,без отделки,монолитные,1985,2.64,не угловая,"грузовой, пассажирский",,двор,"подземный паркинг, гостевой паркинг, наземный паркинг",нет,synthetic,geo,0.32,geo_recomputed,10.91,3.7,0.83,0.33,0.73,0.54,470194.4313276985,0.8095238095238095,41.0,1,0,1,geo_cluster_bootstrap_mixup_tail_v3,0
all,52010038.751933545,83.47372525704516,3,47,52,"вл1 к1, проспект Генерала Дорохова, район Раменки, Москва, Центральный федеральный округ, 119501, Россия",55.707983570398255,37.49285377178368,Матвеевское,9,9.099844578662696,евроремонт,монолитные,1979,2.64,не угловая,unknown,,двор,"подземный паркинг, гостевой паркинг, наземный паркинг",нет,synthetic,geo,0.76,geo_recomputed,9.12,5.36,0.38,0.36,0.56,0.47,623070.7757653827,0.903846153846154,47.0,1,0,1,geo_cluster_bootstrap_mixup_tail_v3,0
4k,58366601.01423476,103.184472941002,4,20,42,"к2, Озёрная улица, район Очаково-Матвеевское, Москва, Центральный федеральный округ, 119517, Россия",55.68853389407795,37.47273575072535,Мичуринский проспект,9,27.19632687496621,без отделки,монолитные,2024,2.68,не угловая,"грузовой, пассажирский",,парковка,подземный паркинг,нет,synthetic,geo,0.77,geo_recomputed,11.41,3.48,0.27,0.38,0.13,0.79,565652.945163631,0.4761904761904761,2.0,1,0,1,geo_cluster_bootstrap_mixup_tail_v3,0
2k,53647122.6003818,71.44582153360243,2,7,32,"6 к3, улица Василия Ланового, Кинематографический квартал, Жилой комплекс ""Событие"", район Раменки, Москва, Центральный федеральный округ, 119607, Россия",55.693647947978214,37.47673741790292,Мичуринский проспект,9,23.723788652607272,unknown,"кирпичные, монолитно-каркасные",1959,2.64,не угловая,unknown,,детская площадка,unknown,нет,synthetic,geo,0.75,geo_recomputed,10.86,3.93,0.64,0.84,0.45,0.68,750878.3781728994,0.21875,67.0,1,0,1,geo_cluster_bootstrap_mixup_tail_v3,0
all,51096466.51757624,62.5751346533907,3,2,8,"Раменский бульвар, район Раменки, Москва, Центральный федеральный округ, 119192, Россия",55.701409753760565,37.49543041592853,Раменки,10,9.303957201653985,unknown,монолитные,2008,3.0,не угловая,"грузовой, пассажирский",,двор,подземный паркинг,нет,synthetic,geo,0.84,geo_recomputed,9.41,5.28,0.47,0.36,0.16,0.33,816561.8308391051,0.25,18.0,1,0,1,geo_cluster_bootstrap_mixup_tail_v3,0
all,20931676.966143988,71.44327281738715,2,4,22,"7, Очаковское шоссе, район Очаково-Матвеевское, Москва, Центральный федеральный округ, 119530, Россия",55.692315918247495,37.460901883767896,Аминьевская,7,12.390109443155495,косметический ремонт,панельные,1985,2.7,не угловая,unknown,,двор,"подземный паркинг, наземный паркинг",нет,synthetic,geo,0.58,geo_recomputed,11.76,2.93,0.42,0.18,0.39,0.35,292983.1758918223,0.1818181818181818,41.0,1,0,1,geo_cluster_bootstrap_mixup_tail_v3,0
all,31090504.20246472,63.89468656962359,2,22,35,"1, проезд Стройкомбината, Очаково, район Очаково-Матвеевское, Москва, Центральный федеральный округ, 119530, Россия",55.68441272194634,37.445703196901675,Очаково I,4,20.59735095838061,unknown,монолитные железо-керамзитно бетонные,1970,2.8,не угловая,unknown,,двор,"подземный паркинг, наземный паркинг",нет,synthetic,geo,0.37,geo_recomputed,13.04,1.73,0.72,0.5,0.42,0.37,486589.82259168907,0.6285714285714286,56.0,1,0,1,geo_cluster_bootstrap_mixup_tail_v3,0
1k,39817832.496267706,61.35012918408468,1,29,39,"улица Гайдая, Кинематографический квартал, Жилой комплекс ""Событие"", район Раменки, Москва, Центральный федеральный округ, 119517, Россия",55.696515961429455,37.46941895875829,Аминьевская,4,19.954703323540063,косметический ремонт,кирпичные,2002,2.64,не угловая,unknown,,двор,"подземный паркинг, наземный паркинг",нет,synthetic,geo,0.34,geo_recomputed,11.05,3.56,0.74,0.29,0.62,0.4,649026.0579043274,0.7435897435897436,24.0,1,0,1,geo_cluster_bootstrap_mixup_tail_v3,0
1k,16251854.666523509,31.962627627791058,1,6,14,"Рублёвское шоссе, Давыдково, район Фили-Давыдково, Москва, Центральный федеральный округ, 121355, Россия",55.7292650382558,37.45270713797798,Кунцевская,5,8.212031071881619,косметический ремонт,кирпич красный,1977,2.68,не угловая,unknown,,двор,наземный паркинг,нет,synthetic,geo,0.41,geo_recomputed,10.51,4.5,0.27,0.41,0.57,0.35,508464.2869722246,0.4285714285714285,49.0,1,0,1,geo_cluster_bootstrap_mixup_tail_v3,0
all-ramenki,99446857.6600174,133.23547295154023,0,8,25,"Мосфильмовская улица, Кинематографический квартал, Жилой комплекс ""Событие"", район Раменки, Москва, Центральный федеральный округ, 119517, Россия",55.69672615259559,37.47245555855352,Аминьевская,5,14.388887736863255,без отделки,сборно-монолитный железобетон,2002,2.68,не угловая,unknown,,двор,"подземный паркинг, наземный паркинг",нет,synthetic,geo,0.41,geo_recomputed,10.88,3.75,0.79,0.42,0.71,0.59,746399.2543201144,0.32,24.0,1,0,1,geo_cluster_bootstrap_mixup_tail_v3,0
all,19443429.74223263,62.27498969720117,2,3,19,"40 к3, Сколковское шоссе, Можайский район, Москва, Центральный федеральный округ, 121353, Россия",55.70185016976028,37.393333039099424,Немчиновка,23,14.44050867152042,черновая отделка,монолитные,2025,2.68,не угловая,unknown,,unknown,unknown,нет,synthetic,geo,1.93,geo_recomputed,15.0,0.28,0.78,0.7,0.59,0.59,312218.9154389612,0.1578947368421052,1.0,0,0,1,geo_cluster_bootstrap_mixup_tail_v3,0
all,51313088.02913488,98.77195275045943,3,16,16,"Азбука Вкуса, 58 к1, Мичуринский проспект, Кинематографический квартал, Жилой комплекс ""Событие"", район Раменки, Москва, Центральный федеральный округ, 119607, Россия",55.691135054838774,37.48621680575882,Мичуринский проспект,3,12.53170242535647,косметический ремонт,монолитные,2011,2.68,не угловая,"пассажирский, грузовой",,двор,"наземный паркинг, гостевой паркинг",нет,synthetic,geo,0.27,geo_recomputed,10.57,4.37,0.58,0.63,0.24,0.06,519510.7173670433,1.0,15.0,1,0,1,geo_cluster_bootstrap_mixup_tail_v3,0
