source_group,price,area_total,rooms,floor,floors_total,address,latitude,longitude,metro,metro_walk_min,kitchen_area,renovation,walls,build_year,ceiling_height,floor_position,elevator,house_number,yard,parking,playground,link,address_source,metro_distance_km,metro_source,distance_to_center_km,distance_to_mkad_km,distance_to_school_km,distance_to_kindergarten_km,distance_to_clinic_km,distance_to_mall_km,price_per_m2,floor_ratio,house_age,has_metro_near,geo_generation_cluster,is_synthetic,generation_method,parent_geo_cluster
all,68627500.77682231,79.87891865536258,3,29,52,,55.69586540147589,37.48501294441763,,,18.94403705249521,unknown,монолитные,2002,2.73,не угловая,"пассажирский, грузовой, пассажирский и грузовой",,двор,"подземный паркинг, наземный паркинг",нет,synthetic,,,,,,,,,,859144.0887290364,0.5576923076923077,24.0,,0,1,geo_cluster_bootstrap_mixup_tail_v3,0
2k,28160109.988357488,55.85189954914075,2,10,17,,55.739904986518546,37.42568999837426,,,11.547637889690963,unknown,панельные,2011,2.68,не угловая,"пассажирский, грузовой",,двор,наземный паркинг,есть,synthetic,,,,,,,,,,504192.5201412548,0.5882352941176471,15.0,,0,1,geo_cluster_bootstrap_mixup_tail_v3,0
all-mozhaiskii,44376800.25284025,93.7398381967526,3,5,5,,55.70754807337336,37.470134170385506,,,12.027636933493337,требует ремонта / частичный ремонт,кирпичные,2002,3.1,не угловая,"пассажирский, грузовой",,двор,"наземный паркинг, подземный паркинг, гостевой паркинг",есть,synthetic,,,,,,,,,,473403.8494892301,1.0,24.0,,0,1,geo_cluster_bootstrap_mixup_tail_v3,0
2k,16396784.745944064,39.57758275174971,2,6,14,,55.703670869297255,37.46837848512018,,,6.985480986301362,косметический ремонт,панельные,2004,2.7,не угловая,unknown,,unknown,unknown,нет,synthetic,,,,,,,,,,414294.74985354353,0.42857142857142855,22.0,,0,1,geo_cluster_bootstrap_mixup_tail_v3,0
all,12583999.19697606,31.83381849406382,1,4,5,,55.72540175351292,37.415326779451924,,,6.419248771044118,косметический ремонт,кирпичные,2002,2.68,не угловая,"пассажирский, грузовой",,двор,наземный паркинг,есть,synthetic,,,,,,,,,,395302.85062480485,0.8,24.0,,0,1,geo_cluster_bootstrap_mixup_tail_v3,0
all,27683606.021258704,55.1414711203518,2,13,15,,55.66669124677388,37.467251220339776,,,9.803927076425198,unknown,панельные,1959,3.0,не угловая,"пассажирский, грузовой",,двор,"наземный паркинг, парковка во дворе",нет,synthetic,,,,,,,,,,502046.92509629374,0.8666666666666667,67.0,,0,1,geo_cluster_bootstrap_mixup_tail_v3,0
all,52584442.670143306,111.83552838271487,3,34,42,,55.697225723640926,37.47131030355854,,,28.627413777715066,без отделки,монолитные,1985,2.64,не угловая,"грузовой, пассажирский",,двор,"подземный паркинг, гостевой паркинг, наземный паркинг",нет,synthetic,,,,,,,,,,470194.4313276985,0.8095238095238095,41.0,,0,1,geo_cluster_bootstrap_mixup_tail_v3,0
all,52010038.751933545,83.47372525704516,3,47,52,,55.707983570398255,37.49285377178368,,,9.099844578662696,евроремонт,монолитные,1979,2.64,не угловая,unknown,,двор,"подземный паркинг, гостевой паркинг, наземный паркинг",нет,synthetic,,,,,,,,,,623070.7757653827,0.9038461538461539,47.0,,0,1,geo_cluster_bootstrap_mixup_tail_v3,0
4k,58366601.01423476,103.18447294100199,4,20,42,,55.688533894077956,37.47273575072535,,,27.19632687496621,без отделки,монолитные,2024,2.68,не угловая,"грузовой, пассажирский",,парковка,подземный паркинг,нет,synthetic,,,,,,,,,,565652.945163631,0.47619047619047616,2.0,,0,1,geo_cluster_bootstrap_mixup_tail_v3,0
2k,53647122.6003818,71.44582153360243,2,7,32,,55.693647947978214,37.47673741790292,,,23.723788652607272,unknown,"кирпичные, монолитно-каркасные",1959,2.64,не угловая,unknown,,детская площадка,unknown,нет,synthetic,,,,,,,,,,750878.3781728994,0.21875,67.0,,0,1,geo_cluster_bootstrap_mixup_tail_v3,0
