source_group,price,area_total,rooms,floor,floors_total,address,latitude,longitude,metro,metro_walk_min,kitchen_area,renovation,walls,build_year,ceiling_height,floor_position,elevator,house_number,yard,parking,playground,link,address_source,metro_distance_km,metro_source,distance_to_center_km,distance_to_mkad_km,distance_to_school_km,distance_to_kindergarten_km,distance_to_clinic_km,distance_to_mall_km,price_per_m2,floor_ratio,house_age,has_metro_near,geo_generation_cluster,is_synthetic,generation_method,parent_geo_cluster
3k,44500000.0,107.0,3.0,6.0,24.0,"москва, ул. чертановская, 43к4 (14 км до центра)",55.608384,37.593318,Пражская,8.0,16.0,евроремонт,монолитные,2002.0,2.68,не угловая,"пассажирский, грузовой",43к4,двор,наземный паркинг,нет,https://msk.etagi.com/realty/11993775/,raw,0.64,geo_recomputed,16.05,3.29,0.25,0.23,0.96,0.04,415887.85046728974,0.25,24.0,1.0,13,0,original,13
1k,10000000.0,34.0,1.0,7.0,9.0,"москва, ул. реутовская, 2",55.742276,37.833608,Новогиреево,12.0,9.0,косметический ремонт,панельные,2002.0,2.68,не угловая,unknown,2,детская площадка,unknown,нет,https://msk.etagi.com/realty/12502657/,raw,0.99,geo_recomputed,13.69,0.5,0.12,0.24,0.43,0.38,294117.64705882355,0.7777777777777778,24.0,1.0,24,0,original,24
all,12450000.0,36.6,1.0,3.0,20.0,"арм-строй, скандинавский бульвар, скандинавия, район коммунарка, москва, центральный федеральный округ, 108801, россия",55.561568,37.502156,Потапово,15.0,12.0,черновая отделка,монолитные,2002.0,2.68,,unknown,,unknown,unknown,,https://msk.etagi.com/realty/10956427/,geo,1.23,geo_recomputed,22.36,3.72,0.47,0.22,0.62,0.33,340163.9344262295,0.15,24.0,1.0,8,0,original,8
all,10000000.0,28.1,1.0,3.0,24.0,"москва, ул. очаковское шоссе, 7 (12 км до центра)",55.692896,37.460816,Аминьевская,6.0,10.0,чистовая отделка,панельные,2002.0,2.68,не угловая,unknown,7,двор,"подземный паркинг, наземный паркинг",нет,https://msk.etagi.com/realty/12620373/,raw,0.52,geo_recomputed,11.72,2.94,0.37,0.15,0.42,0.3,355871.88612099644,0.125,24.0,1.0,0,0,original,0
2k,22000000.0,60.0,2.0,7.0,25.0,"москва, ул. проезд черепановых, 10 (11 км до центра)",55.834608,37.515443,Коптево,8.0,11.0,косметический ремонт,монолитные,2002.0,2.68,не угловая,unknown,10,детская площадка,unknown,нет,https://msk.etagi.com/realty/12486760/,raw,0.63,geo_recomputed,11.1,6.16,0.64,0.54,0.55,0.46,366666.6666666667,0.28,24.0,1.0,21,0,original,21
all-taganskii,18000000.0,39.0,2.0,12.0,14.0,"москва, ул. талалихина, 16",55.735449,37.676807,Пролетарская,9.0,6.3,косметический ремонт,блочные,1971.0,2.64,не угловая,"пассажирский, грузовой",16,двор,наземный паркинг,есть,https://msk.etagi.com/realty/12194972/,raw,0.76,geo_recomputed,4.26,10.27,0.27,0.24,0.27,0.2,461538.4615384616,0.8571428571428571,55.0,1.0,20,0,original,20
2k,39500000.0,89.0,2.0,22.0,32.0,"москва, ул. проспект вернадского, 80ак1 (13 км до центра)",55.667305,37.482466,Юго-Западная,6.0,10.0,черновая отделка,монолитные,2002.0,2.68,не угловая,unknown,80ак1,детская площадка,unknown,нет,https://msk.etagi.com/realty/12154956/,raw,0.46,geo_recomputed,12.6,2.93,0.6,0.59,0.49,0.25,443820.2247191011,0.6875,24.0,1.0,0,0,original,0
2k,17600000.0,43.2,2.0,5.0,5.0,"москва, ул. нагорный бульвар, 5к2",55.674352,37.594189,Нагорная,12.0,5.0,unknown,unknown,1965.0,2.5,не угловая,unknown,5к2,двор,наземный паркинг,нет,https://msk.etagi.com/realty/12577125/,raw,1.03,geo_recomputed,8.76,9.23,0.18,0.08,0.16,0.28,407407.40740740736,1.0,61.0,1.0,5,0,original,5
all,11600000.0,24.0,0.0,1.0,5.0,"москва, ул. проспект 60-летия октября, 16к3 (8 км до центра)",55.690735,37.573223,Академическая,4.0,9.0,unknown,кирпичные,2002.0,2.68,не угловая,unknown,16к3,детская площадка,unknown,нет,https://msk.etagi.com/realty/12296260/,raw,0.32,geo_recomputed,7.33,9.13,0.12,0.08,0.22,0.22,483333.3333333333,0.2,24.0,1.0,15,0,original,15
all-novokosino,11500000.0,42.4,1.0,21.0,26.0,"chik, 67, юбилейный проспект, 10а микрорайон, южный реутов, реутов, городской округ реутов, московская область, центральный федеральный округ, 143962, россия",55.754375,37.886402,Никольское,11.0,10.0,требует ремонта / частичный ремонт,монолитно-кирпичный,2002.0,2.68,не угловая,грузовой,67,двор,"наземный паркинг, подземный паркинг",нет,https://msk.etagi.com/realty/12287779/,geo,0.93,geo_recomputed,16.95,2.75,1.52,1.34,1.48,1.1,271226.41509433964,0.8076923076923077,24.0,1.0,24,0,original,24
2k,4000000.0,65.0,2.0,8.0,12.0,"8, 5-й квартал капотня, район капотня, москва, центральный федеральный округ, 109649, россия",55.630482,37.795035,Алма-Атинская,22.0,10.0,косметический ремонт,панельные,1981.0,2.64,не угловая,"пассажирский, грузовой",8,двор,наземный паркинг,есть,https://msk.etagi.com/realty/12102660/,geo,1.87,geo_recomputed,17.6,0.43,0.12,0.12,0.92,0.14,61538.46153846154,0.6666666666666666,45.0,0.0,17,0,original,17
all-ochakovo-matveevskoe,18000000.0,37.6,1.0,11.0,17.0,"москва, ул. озёрная, 4к2",55.687594,37.46547,Очаково I,12.0,11.0,unknown,панельные,2011.0,2.68,не угловая,"пассажирский, грузовой",4к2,двор,наземный паркинг,нет,https://msk.etagi.com/realty/12631610/,raw,0.99,geo_recomputed,11.83,3.01,0.34,0.11,0.41,0.84,478723.4042553191,0.6470588235294118,15.0,1.0,0,0,original,0
1k,12800000.0,36.2,1.0,12.0,17.0,"москва, ул. снайперская, 2к1",55.725316,37.815983,Выхино,12.0,9.0,косметический ремонт,панельные,1999.0,2.68,не угловая,unknown,2к1,детская площадка,unknown,нет,https://msk.etagi.com/realty/12609413/,raw,0.97,geo_recomputed,12.9,1.48,0.28,0.3,0.47,0.21,353591.16022099444,0.7058823529411765,27.0,1.0,12,0,original,12
3k,21490000.0,52.0,3.0,3.0,9.0,"москва, ул. аминьевское шоссе, 32",55.719678,37.451707,Давыдково,6.0,6.3,косметический ремонт,блочные,1974.0,2.64,не угловая,"пассажирский, грузовой",32,двор,"наземный паркинг, гостевой паркинг",есть,https://msk.etagi.com/realty/10127871/,raw,0.49,geo_recomputed,10.88,3.82,0.33,0.12,0.43,0.2,413269.2307692307,0.3333333333333333,52.0,1.0,0,0,original,0
all-ramenki,51000000.0,114.9,4.0,23.0,66.0,"москва, ул. проспект генерала дорохова, 49 (10 км до центра)",55.708795,37.493272,Матвеевское,10.0,6.0,черновая отделка,монолитные,2002.0,3.1,не угловая,unknown,49,двор,"подземный паркинг, гостевой паркинг, наземный паркинг",нет,https://msk.etagi.com/realty/8498443/,raw,0.83,geo_recomputed,9.05,5.42,0.47,0.45,0.61,0.53,443864.22976501303,0.3484848484848485,24.0,1.0,0,0,original,0
all-kosino-ukhtomskii,9199000.0,28.6,0.0,12.0,25.0,"ecoplatform, 13 к1, улица юности, красная горка, люберцы, городской округ люберцы, московская область, центральный федеральный округ, 140013, россия",55.705097,37.905716,Лухмановская,5.0,6.0,unknown,другое,2002.0,2.8,не угловая,unknown,13,двор,наземный паркинг,нет,https://msk.etagi.com/realty/12030545/,geo,0.45,geo_recomputed,18.91,4.35,0.84,0.71,1.4,0.64,321643.3566433566,0.48,24.0,1.0,4,0,original,4
2k,16800000.0,42.9,2.0,12.0,20.0,"москва, ул. новодачная, 67/68",55.922651,37.534065,Новодачная,5.0,10.0,ремонт по дизайн-проекту,монолитный железобетонный каркас,2002.0,2.68,,unknown,,unknown,unknown,,https://msk.etagi.com/realty/10276223/,raw,0.43,geo_recomputed,19.63,1.72,0.69,0.47,0.49,0.47,391608.3916083916,0.6,24.0,1.0,21,0,original,21
all,85000000.0,130.0,4.0,4.0,25.0,"москва, ул. береговой проезд, 1к",55.756964,37.513332,Шелепиха,9.0,20.0,unknown,кирпич красный,2002.0,2.68,не угловая,unknown,1к,парковка,наземный паркинг,нет,https://msk.etagi.com/realty/12467197/,raw,0.77,geo_recomputed,6.42,9.01,0.34,0.17,0.26,0.28,653846.1538461539,0.16,24.0,1.0,10,0,original,10
all,10000000.0,23.7,0.0,2.0,21.0,"москва, ул. востряковское шоссе, 7с1",55.661577,37.453908,Озёрная,11.0,4.0,современный ремонт,панельные,2002.0,2.64,не угловая,грузовой,7с1,двор,подземный паркинг,нет,https://msk.etagi.com/realty/10872768/,raw,0.96,geo_recomputed,14.29,1.09,0.57,0.49,0.87,0.46,421940.92827004223,0.0952380952380952,24.0,1.0,3,0,original,3
all-preobrazhenskoe,10800000.0,20.7,1.0,6.0,9.0,"москва, ул. халтуринская, 18",55.80481,37.726313,Черкизовская,14.0,3.5,косметический ремонт,монолитные,1972.0,2.5,не угловая,пассажирский,18,двор,наземный паркинг,нет,https://msk.etagi.com/realty/12510487/,raw,1.18,geo_recomputed,9.06,6.35,0.11,0.46,0.45,0.24,521739.13043478265,0.6666666666666666,54.0,1.0,7,0,original,7
all,22500000.0,58.0,3.0,8.0,9.0,"москва, ул. загородное шоссе, 6к1",55.693703,37.605858,Крымская,5.0,15.0,евроремонт,кирпичные,2002.0,2.68,,unknown,,unknown,unknown,,https://msk.etagi.com/realty/9797481/,raw,0.41,geo_recomputed,6.53,11.03,0.14,0.11,0.13,0.21,387931.0344827586,0.8888888888888888,24.0,1.0,5,0,original,5
all,16700000.0,35.5,1.0,5.0,12.0,"горздрав, улица лобановский лес, жилой комплекс «прокшино», район коммунарка, москва, центральный федеральный округ, 108802, россия",55.594296,37.428917,Филатов луг,18.0,10.0,евроремонт,монолитные,2002.0,2.68,не угловая,unknown,11,двор,"наземный паркинг, подземный паркинг",нет,https://msk.etagi.com/realty/11872749/,geo,1.47,geo_recomputed,21.1,4.34,0.19,0.27,1.75,1.54,470422.5352112676,0.4166666666666667,24.0,0.0,22,0,original,22
