source_group,price,area_total,rooms,floor,floors_total,address,latitude,longitude,metro,metro_walk_min,kitchen_area,renovation,walls,build_year,ceiling_height,floor_position,elevator,house_number,yard,parking,playground,link,address_source,metro_distance_km,metro_source,distance_to_center_km,distance_to_mkad_km,distance_to_school_km,distance_to_kindergarten_km,distance_to_clinic_km,distance_to_mall_km,price_per_m2,floor_ratio,house_age,has_metro_near,district_cluster,is_synthetic,augmentation_copy
3k,44500000.0,107.0,3.0,6.0,24.0,"москва, ул. чертановская, 43к4 (14 км до центра)",55.608384,37.593318,Пражская,8.0,16.0,евроремонт,монолитные,2002.0,2.68,не угловая,"пассажирский, грузовой",43к4,двор,наземный паркинг,нет,https://msk.etagi.com/realty/11993775/,raw,0.64,geo_recomputed,16.05,3.29,0.25,0.23,0.96,0.04,415887.85046728974,0.25,24.0,1.0,9,0,0
1k,10000000.0,34.0,1.0,7.0,9.0,"москва, ул. реутовская, 2",55.742276,37.833608,Новогиреево,12.0,9.0,косметический ремонт,панельные,2002.0,2.68,не угловая,unknown,2,детская площадка,unknown,нет,https://msk.etagi.com/realty/12502657/,raw,0.99,geo_recomputed,13.69,0.5,0.12,0.24,0.43,0.38,294117.64705882355,0.7777777777777778,24.0,1.0,4,0,0
all,12450000.0,36.6,1.0,3.0,20.0,"арм-строй, скандинавский бульвар, скандинавия, район коммунарка, москва, центральный федеральный округ, 108801, россия",55.561568,37.502156,Потапово,15.0,12.0,черновая отделка,монолитные,2002.0,2.68,,unknown,,unknown,unknown,,https://msk.etagi.com/realty/10956427/,geo,1.23,geo_recomputed,22.36,3.72,0.47,0.22,0.62,0.33,340163.9344262295,0.15,24.0,1.0,12,0,0
all,10000000.0,28.1,1.0,3.0,24.0,"москва, ул. очаковское шоссе, 7 (12 км до центра)",55.692896,37.460816,Аминьевская,6.0,10.0,чистовая отделка,панельные,2002.0,2.68,не угловая,unknown,7,двор,"подземный паркинг, наземный паркинг",нет,https://msk.etagi.com/realty/12620373/,raw,0.52,geo_recomputed,11.72,2.94,0.37,0.15,0.42,0.3,355871.88612099644,0.125,24.0,1.0,15,0,0
2k,22000000.0,60.0,2.0,7.0,25.0,"москва, ул. проезд черепановых, 10 (11 км до центра)",55.834608,37.515443,Коптево,8.0,11.0,косметический ремонт,монолитные,2002.0,2.68,не угловая,unknown,10,детская площадка,unknown,нет,https://msk.etagi.com/realty/12486760/,raw,0.63,geo_recomputed,11.1,6.16,0.64,0.54,0.55,0.46,366666.6666666667,0.28,24.0,1.0,1,0,0
all-taganskii,18000000.0,39.0,2.0,12.0,14.0,"москва, ул. талалихина, 16",55.735449,37.676807,Пролетарская,9.0,6.3,косметический ремонт,блочные,1971.0,2.64,не угловая,"пассажирский, грузовой",16,двор,наземный паркинг,есть,https://msk.etagi.com/realty/12194972/,raw,0.76,geo_recomputed,4.26,10.27,0.27,0.24,0.27,0.2,461538.4615384616,0.8571428571428571,55.0,1.0,13,0,0
2k,39500000.0,89.0,2.0,22.0,32.0,"москва, ул. проспект вернадского, 80ак1 (13 км до центра)",55.667305,37.482466,Юго-Западная,6.0,10.0,черновая отделка,монолитные,2002.0,2.68,не угловая,unknown,80ак1,детская площадка,unknown,нет,https://msk.etagi.com/realty/12154956/,raw,0.46,geo_recomputed,12.6,2.93,0.6,0.59,0.49,0.25,443820.2247191011,0.6875,24.0,1.0,15,0,0
2k,17600000.0,43.2,2.0,5.0,5.0,"москва, ул. нагорный бульвар, 5к2",55.674352,37.594189,Нагорная,12.0,5.0,unknown,unknown,1965.0,2.5,не угловая,unknown,5к2,двор,наземный паркинг,нет,https://msk.etagi.com/realty/12577125/,raw,1.03,geo_recomputed,8.76,9.23,0.18,0.08,0.16,0.28,407407.40740740736,1.0,61.0,1.0,2,0,0
all,11600000.0,24.0,0.0,1.0,5.0,"москва, ул. проспект 60-летия октября, 16к3 (8 км до центра)",55.690735,37.573223,Академическая,4.0,9.0,unknown,кирпичные,2002.0,2.68,не угловая,unknown,16к3,детская площадка,unknown,нет,https://msk.etagi.com/realty/12296260/,raw,0.32,geo_recomputed,7.33,9.13,0.12,0.08,0.22,0.22,483333.3333333333,0.2,24.0,1.0,2,0,0
all-novokosino,11500000.0,42.4,1.0,21.0,26.0,"chik, 67, юбилейный проспект, 10а микрорайон, южный реутов, реутов, городской округ реутов, московская область, центральный федеральный округ, 143962, россия",55.754375,37.886402,Никольское,11.0,10.0,требует ремонта / частичный ремонт,монолитно-кирпичный,2002.0,2.68,не угловая,грузовой,67,двор,"наземный паркинг, подземный паркинг",нет,https://msk.etagi.com/realty/12287779/,geo,0.93,geo_recomputed,16.95,2.75,1.52,1.34,1.48,1.1,271226.41509433964,0.8076923076923077,24.0,1.0,22,0,0
